Seller_Name,Grand_Total,Delivered,Exception,In Transit,Out For Delivery,RTO,Delivered_%,Exception_%,In_Transit_%,Out_For_Delivery_%,RTO_%
Grand_Total,43950,2569,4018,27345,6092,3926,5%,9%,62%,13%,8%
VRS Group,16804,231,459,13766,1916,432,1%,2%,81%,11%,2%
Dhuva limited,8872,172,1246,5857,1332,265,1%,14%,66%,15%,2%
Khemka GOC,5407,1025,1047,1004,649,1682,18%,19%,18%,12%,31%
dubai llc,4245,278,615,1946,738,668,6%,14%,45%,17%,15%
checkokk,1713,89,102,669,525,328,5%,5%,39%,30%,19%
Anant Tenet Media,1667,47,65,1126,305,124,2%,3%,67%,18%,7%
Testing 101,1585,246,158,885,189,107,15%,9%,55%,11%,6%
PINKBOX,1100,59,41,725,160,115,5%,3%,65%,14%,10%
A.D.Enterprise,629,25,36,467,62,39,3%,5%,74%,9%,6%
Shop Ess,318,29,81,134,40,34,9%,25%,42%,12%,10%
Genesis Global Technologies,307,82,34,165,22,4,26%,11%,53%,7%,1%
Infi,165,17,10,115,18,5,10%,6%,69%,10%,3%
AK Enterprises,141,17,10,84,18,12,12%,7%,59%,12%,8%
Sameer ecom india,119,14,17,60,19,9,11%,14%,50%,15%,7%
Soni Enterprises,116,42,13,37,12,12,36%,11%,31%,10%,10%
Kitchen Appliances,110,22,10,48,8,22,20%,9%,43%,7%,20%
Palika Store,96,26,3,13,19,35,27%,3%,13%,19%,36%
Ar seller ecom india,67,12,10,39,6,0,17%,14%,58%,8%,0%
Memorazo Gifting Pvt. Ltd.,66,20,18,19,9,0,30%,27%,28%,13%,0%
Thenanodesigns,63,40,4,11,4,4,63%,6%,17%,6%,6%
theunbiasedreview,63,9,6,40,5,3,14%,9%,63%,7%,4%
TATA AND GUSTO ENTERPRISES,49,18,2,28,1,0,36%,4%,57%,2%,0%
Avahim,44,4,5,29,6,0,9%,11%,65%,13%,0%
Thisishome,43,1,3,26,9,4,2%,6%,60%,20%,9%
HALFBRAIN MEDIA PRIVATE LIMITED,42,9,6,25,2,0,21%,14%,59%,4%,0%
Shahdhar Innovative Private Limited,32,12,7,4,7,2,37%,21%,12%,21%,6%
Apex Digital,23,6,0,1,7,9,26%,0%,4%,30%,39%
Elevate Store,18,5,7,6,0,0,27%,38%,33%,0%,0%
click pick,17,4,0,2,1,10,23%,0%,11%,5%,58%
ARORA GROUP,14,1,3,8,2,0,7%,21%,57%,14%,0%
Universal Business Corporation,5,3,0,2,0,0,60%,0%,40%,0%,0%
 Fizzi.Shop,2,1,0,1,0,0,50%,0%,50%,0%,0%
VAVAS ENTERPRISES,2,1,0,0,0,1,50%,0%,0%,0%,50%
Sharpz,2,2,0,0,0,0,100%,0%,0%,0%,0%
Poloniex,2,0,0,1,1,0,0%,0%,50%,50%,0%
onlinekart24.com,1,0,0,1,0,0,0%,0%,100%,0%,0%
Namit Ace Traders,1,0,0,1,0,0,0%,0%,100%,0%,0%
